Iteration,My,Sigma
254,3.17447300949249,1.40751261886816
255,3.16980286395572,1.40177024107955
256,3.16401183865284,1.3914489305949
257,3.16874375829186,1.39482960144157
258,3.16959474797972,1.37739506950922
259,3.18367440310237,1.38687000612343
260,3.19370895047822,1.37424037871776
261,3.18779763169886,1.37248828509695
262,3.20190771921974,1.37278282657409
263,3.21424251878601,1.37262745797127
264,3.22222610636434,1.36494459330754
265,3.22758946284189,1.34774892656132
266,3.22758946284189,1.34774892656132
267,3.22758946284189,1.34774892656132
268,3.21260554899644,1.34714516369355
269,3.211588705956,1.35507976690828
270,3.21717114650358,1.3563262451292
271,3.21717114650358,1.3563262451292
272,3.20293326872307,1.36496324014359
273,3.18804632116306,1.3664499500712
274,3.21224567492573,1.36457184197823
275,3.2210988869571,1.36196309241279
276,3.22515605494075,1.36614911901857
277,3.22473820804044,1.36527440865098
278,3.22345843053498,1.36437196271462
279,3.20801438263516,1.36328221212472
280,3.22445496166597,1.36676403016529
281,3.23517625726308,1.37888089384406
282,3.22942810609164,1.38806041238638
283,3.22225104485128,1.38009677231207
284,3.21575226219413,1.38146621329857
285,3.21575226219413,1.38146621329857
286,3.22323976667779,1.39578404710881
287,3.2127468665613,1.39860622043147
288,3.20706860677854,1.40939244547643
289,3.20874846770345,1.40082092724399
290,3.21157245161595,1.40068676650545
291,3.20499446951488,1.40908369336763
292,3.20857719408116,1.40752270953927
293,3.2163269968337,1.40425862175039
294,3.21498296369697,1.40447888693296
295,3.21510684859174,1.40017735016583
296,3.22010776033926,1.39384293586249
297,3.22499097426856,1.39769250281208
298,3.21413590104291,1.41364827965209
299,3.22743050460551,1.40747472106018
300,3.21897510593769,1.40306955835841
301,3.20582068676604,1.40491034597726
302,3.20449807868023,1.40888475323463
303,3.19615966642448,1.42378387478236
304,3.18927950178647,1.4108283905289
305,3.18590246227954,1.41358083161464
306,3.19094032916544,1.42152772262217
307,3.20911574977889,1.40565655329318
308,3.19973335065783,1.42105834125271
309,3.21777499432409,1.40944532518193
310,3.21486500116221,1.41943969990584
311,3.22114828586637,1.43332385980097
312,3.22351359524471,1.43243879499842
313,3.21833604076454,1.41934945562635
314,3.22726764383621,1.42181318321544
315,3.22726764383621,1.42181318321544
316,3.22776957359392,1.4288022977073
317,3.23130608299177,1.42686405759866
318,3.23130608299177,1.42686405759866
319,3.21768196494386,1.42657769191378
320,3.21768196494386,1.42657769191378
321,3.22157713704603,1.43188392381124
322,3.23865152268908,1.43633631300184
323,3.23865152268908,1.43633631300184
324,3.24812715990094,1.4237372973403
325,3.25127784210539,1.42277852497528
326,3.24404792532609,1.42990833392886
327,3.22703859618812,1.4236159010309
328,3.22712550747184,1.43352232976586
329,3.23319581934634,1.42879479609542
330,3.22294823718034,1.42407871600542
331,3.20834408358919,1.42413307032453
332,3.20806517487873,1.42528755708438
333,3.21448224780534,1.428850938709
334,3.21041990964067,1.43283283861538
335,3.21962361009904,1.44731523411223
336,3.21418717760764,1.41781791008869
337,3.20977249689832,1.40660783929269
338,3.20985651589905,1.4071755306735
339,3.20743000041273,1.40483261137077
340,3.19857465064183,1.40788468303118
341,3.19905502015776,1.40565891525727
342,3.20176608709477,1.41677292702077
